,participant,block_label,trial_block,f_cor,f_inc,cor_option,inc_option,times_seen,rt,accuracy,feedback_type
89,1,2,10,53,37,4,2,4,1.4602342662528829,1,0
90,1,2,11,36,33,2,1,4,1.5221609484797227,1,0
91,1,2,12,58,43,4,2,5,1.3146974834608045,1,0
92,1,2,13,39,36,2,1,5,1.4333597983113575,1,0
93,1,2,14,40,29,2,1,6,1.1698348407899175,1,0
94,1,2,15,33,43,2,1,7,1.0712765790403864,1,0
95,1,2,16,49,40,4,2,8,1.1717811430544316,1,0
96,1,2,17,34,34,2,1,9,1.849992046853004,1,0
97,1,2,18,60,44,4,3,9,1.128029278502254,1,0
98,1,2,19,55,42,3,1,10,1.7749870462694162,1,0
99,1,2,20,50,35,3,1,11,1.1277391422481742,1,0
100,1,2,21,47,42,4,2,10,1.1467662778386511,1,0
101,1,2,22,57,53,4,3,11,1.2817403942708552,1,0
102,1,2,23,52,44,4,3,12,1.2635034533041107,1,0
103,1,2,24,42,39,2,1,11,1.9327703097087576,1,0
104,1,2,25,61,37,4,2,12,1.300853205390922,1,0
105,1,2,26,49,52,4,3,14,1.0943714249242475,1,0
106,1,2,27,58,36,4,2,14,1.5361158196619726,1,0
107,1,2,28,44,37,2,1,13,1.7259287602846598,1,0
108,1,2,29,54,43,4,2,15,1.3848066907476095,1,0
109,1,2,30,40,36,3,1,14,1.4148217983120048,1,0
110,1,2,31,58,35,3,1,15,1.1082703168767694,1,0
111,1,2,32,54,45,4,3,17,1.5823208715828514,0,0
112,1,2,33,56,44,3,1,17,1.2872755113394303,1,0
113,1,2,34,39,42,2,1,16,1.97574631578118,1,0
114,1,2,35,51,48,4,3,18,1.8613391051103465,0,0
115,1,2,36,51,34,4,2,18,1.215496143236123,1,0
116,1,2,37,53,30,3,1,19,1.4188601536425267,1,0
117,1,2,38,41,37,2,1,18,1.9263391836184385,1,0
118,1,2,39,50,30,3,1,20,1.4055872733260912,1,0
119,1,2,40,59,45,4,2,19,0.9964060651454928,1,0
120,1,2,41,53,50,4,3,21,1.2394928008661736,1,0
121,1,2,42,48,46,3,1,22,1.0322494980637202,1,0
122,1,2,43,62,51,4,3,23,1.6620632852027484,0,0
123,1,2,44,38,34,2,1,21,2.1063871619144265,1,0
124,1,2,45,51,42,4,3,24,1.089468122217113,1,0
125,1,2,46,59,45,4,2,22,1.3533112056084065,1,0
126,1,2,47,48,52,4,3,25,1.5725743414413955,0,0
127,1,2,48,48,39,3,1,25,1.4190601769896602,1,0
128,1,2,49,56,51,4,3,27,1.598911886643691,1,0
129,1,2,50,48,52,4,3,28,1.0222128316681849,1,0
130,1,2,51,49,34,3,1,27,1.0835005314611408,1,0
131,1,2,52,49,37,3,1,28,0.9938238524764528,1,0
132,1,2,53,54,33,3,1,29,1.116555584303569,1,0
133,1,2,54,38,38,2,1,24,1.6548941890150672,0,0
134,1,2,55,35,31,2,1,25,1.253484195083729,0,0
135,1,2,56,56,46,4,2,26,1.4197930270356665,1,0
136,1,2,57,35,33,2,1,27,1.8253011102324308,1,0
137,1,2,58,54,47,4,2,27,1.252672837580576,1,0
138,1,2,59,47,41,3,1,31,1.3108864584191906,1,0
139,1,2,60,41,40,2,1,29,1.2594736313931207,1,0
140,1,2,61,40,28,2,1,30,1.018483727451894,1,0
141,1,2,62,64,50,4,2,29,1.1256976070244489,1,0
142,1,2,63,55,30,4,2,30,1.0671853165113134,1,0
143,1,2,64,39,31,2,1,32,1.3845431787594862,1,0
144,1,2,65,44,48,4,2,32,1.1424971788510447,1,0
145,1,2,66,53,46,4,2,33,0.9871312624209168,1,0
146,1,2,67,56,38,3,1,34,1.741653121285708,1,0
147,1,2,68,38,41,2,1,34,1.5166995601539384,1,0
148,1,2,69,56,51,4,3,34,1.7987727577756232,1,0
149,1,2,70,41,35,2,1,35,1.413965384354924,1,0
150,1,2,71,49,36,3,1,36,1.3260530751367696,1,0
151,1,2,72,57,40,4,2,35,2.4049182532562554,1,0
152,1,2,73,43,32,2,1,37,1.2723096006429842,1,0
153,1,2,74,32,32,2,1,38,1.3866447892560243,1,0
154,1,2,75,50,54,4,3,36,1.1905290651675386,1,0
155,1,2,76,46,40,3,1,39,1.145762406396898,1,0
156,1,2,77,57,60,4,3,38,1.3021222955030678,1,0
157,1,2,78,52,47,4,3,39,1.2039944594216652,1,0
158,1,2,79,50,37,4,2,39,1.0890178990175627,1,0
159,1,2,80,55,42,4,2,40,1.0144593669301685,1,0
160,1,3,1,44,37,3,1,1,0.9820412485014458,1,0
161,1,3,2,58,39,4,2,1,1.2706264690277749,0,0
162,1,3,3,53,53,4,3,2,1.2599224892455825,1,0
163,1,3,4,61,41,4,2,2,1.5176665672242962,1,0
164,1,3,5,53,43,4,3,3,1.6137931458215462,1,0
165,1,3,6,51,31,3,1,3,1.5211895040310992,1,0
166,1,3,7,43,39,2,1,3,1.4769768348387515,0,0
167,1,3,8,52,35,4,2,4,0.933008562773466,1,0
168,1,3,9,38,31,2,1,4,1.5215246967391067,1,0
169,1,3,10,46,41,2,1,5,1.7926071916926958,1,0
170,1,3,11,43,32,2,1,6,1.2151333022484323,1,0
171,1,3,12,49,42,3,1,6,1.2354213358694324,1,0
172,1,3,13,40,34,2,1,8,1.4301013975009482,1,0
173,1,3,14,60,42,4,2,7,1.4358099136479725,1,0
174,1,3,15,59,58,4,3,6,1.1146813040977577,1,0
